NUMBER | OVR | NAME | POSITION
 12 | 141 | Mbabepe Lorik | CF
 13 | 140 | Albie Tolen | AMF
 14 | 139 | Joshwel Rocay | CMF
 15 | 138 | Yadhubub Lorvik | DMF
 16 | 137 | Tavrix Molven | CB
 17 | 137 | Cairon Vexel | CB
 18 | 136 | Daren Falvik | RB
 19 | 136 | Liron Veyron | LB
 20 | 135 | Rivon Klyne | DMF
 21 | 135 | Zyren Falden | CMF
 22 | 134 | Tavon Krex | AMF
 23 | 134 | Kiron Valtrex | RWF
 24 | 134 | Eryx Vornel | LWF
 25 | 133 | Torik Dexel | CF
 26 | 133 | Ravon Valtor | GK
 27 | 132 | Daren Velix | CB
 28 | 132 | Lyron Vexel | RB
  1 | 132 | Mavrix Lorik | LB
  2 | 131 | Zylen Moltek | DMF
  3 | 131 | Cairon Veyro | CMF
  4 | 130 | Tavrix Daxon | AMF
  5 | 130 | Eryx Falden | RWF
  6 | 130 | Loran Dexel | LWF
 13 | 129 | Daxel Molvik | CF
  8 | 129 | Ravik Vorik | GK
  9 | 128 | Cayden Valtor | CB
 13 | 128 | Tavrix Lorik | RB
 11 | 128 | Cairon Dexel | LB
 12 | 127 | Daren Valtor | DMF
 13 | 127 | Lyron Falden | CMF
 14 | 126 | Mavrix Dexel | AMF
 15 | 126 | Zyren Veyron | RWF
 16 | 126 | Eryx Lorvik | LWF
 17 | 125 | Torik Valtor | CF
 18 | 125 | Ravon Dexel | GK
 19 | 124 | Daren Molvik | CB
 20 | 124 | Lyron Valtrex | RB
 21 | 124 | Mavrix Veyron | LB
 22 | 123 | Zylen Lorik | DMF
 23 | 123 | Cairon Dexel | CMF
 24 | 122 | Tavrix Valtor | AMF
 25 | 122 | Eryx Falven | RWF
 26 | 122 | Loran Veyron | LWF
 27 | 121 | Torik Dexel | CF
 28 |  64 | Knox Banks | CF
  1 |  68 | Enzo Banks | SS
